idx,Price
3048,313.9
2753,273.9
3007,254.5
4098,164.3
3968,167.0
4451,111.5
2407,335.7
3282,234.8
2404,341.5
1237,462.3
103,1347.3
4543,121.2
272,994.3
508,944.5
2223,330.2
4932,98.2
2492,341.6
865,653.5
4010,166.1
908,650.5
2111,375.0
3891,160.1
1627,439.5
4757,134.0
1522,452.9
835,672.2
358,1111.8
138,1306.4
299,1140.8
1556,449.3
1003,577.5
382,1100.8
941,609.5
4811,128.4
4848,121.4
761,685.6
4197,146.8
2763,282.3
4575,125.0
2083,373.3
2194,334.8
898,640.0
3994,165.6
1992,393.1
1402,466.4
2104,387.7
3780,164.8
4385,112.7
2951,249.4
1512,461.2
1188,470.1
2985,234.9
3103,309.6
3871,154.9
3433,225.4
108,1350.9
3159,292.4
2305,332.4
2299,311.5
58,1403.3
76,1294.0
796,660.2
368,1108.2
4904,107.2
785,665.7
2592,325.8
3259,245.9
3375,241.3
4939,104.1
3529,186.4
1897,403.5
2333,359.5
121,1348.3
1839,403.7
3749,163.9
3638,181.9
910,658.9
124,1317.9
1943,418.1
1586,446.2
1257,455.1
3437,223.8
4104,167.6
3379,233.2
1178,470.4
2715,275.3
4553,115.5
2331,361.2
2100,378.6
442,953.4
2172,362.8
2867,254.6
925,636.0
2328,368.9
2142,373.1
4769,139.7
1411,467.1
4072,164.3
3269,239.3
1509,460.3
1227,461.5
4290,134.4
2351,366.2
3508,198.1
2146,379.8
3276,235.4
324,1106.4
3075,318.7
4233,138.3
1983,376.1
4462,117.3
4352,110.5
1498,464.2
1502,466.2
1006,582.6
2370,354.3
4179,151.2
4449,113.2
1467,466.3
1225,450.1
1971,377.7
2264,303.2
4066,162.6
1216,453.1
3971,167.2
3494,200.9
420,980.3
3418,235.3
6,1310.5
932,613.4
1691,433.4
439,975.0
1313,451.6
678,786.2
2252,304.0
4609,129.3
4700,131.3
3574,188.3
4632,132.2
2119,376.8
2547,351.4
4960,115.4
4032,167.8
1888,400.6
4243,137.5
3945,154.3
3859,154.0
194,1203.6
1474,461.9
2138,387.6
1211,450.1
3322,236.9
1657,456.3
2696,295.0
3015,227.7
4673,133.9
2812,258.7
4770,137.8
4323,117.6
1130,507.0
1461,463.3
276,1084.2
4225,145.7
4717,128.5
2602,323.8
1302,458.4
3727,165.4
222,1121.0
3545,182.1
1919,415.4
573,878.6
1236,463.1
3540,181.3
2640,306.2
1334,455.5
3580,192.1
418,1006.0
2021,389.2
1104,527.1
257,1066.1
295,1143.0
2357,367.4
386,1099.2
4846,122.2
4934,99.2
2228,329.9
2244,319.5
4334,102.8
3634,184.5
4347,111.5
4383,111.7
1563,447.1
4830,125.5
1400,467.0
712,748.3
2876,256.8
2526,350.9
209,1175.3
3938,159.2
1289,464.5
449,965.5
4086,162.0
4719,129.6
1820,415.6
958,621.7
1793,411.6
2042,395.4
654,805.7
3455,210.3
4675,135.5
3184,284.0
1760,407.4
4733,133.5
3555,188.2
2110,377.5
411,1024.1
1774,417.1
2497,339.1
2648,297.1
2940,255.9
2622,315.3
4310,123.1
4773,134.6
3698,180.6
2266,295.5
2662,289.9
3554,188.2
3814,167.4
2422,332.7
3565,187.4
430,950.7
4478,115.5
2022,387.9
1366,451.7
3107,304.8
2847,273.8
1176,472.8
3347,251.8
1476,462.4
3148,286.9
4229,145.2
102,1332.0
3435,226.8
3000,246.8
1263,462.2
2877,253.8
3134,294.2
2367,354.6
4002,166.4
3705,178.6
3295,231.7
3167,298.2
3828,161.8
1643,452.0
4504,125.2
0,1282.7
1580,450.7
4421,115.4
4677,136.6
1356,453.7
3509,197.3
4157,160.1
2231,322.2
2092,375.4
2215,329.9
396,1055.7
4840,123.3
1064,559.9
3188,285.6
4368,108.3
818,672.4
1812,422.2
3299,235.2
1552,450.7
3116,293.5
816,652.5
1572,449.0
4841,121.6
1800,419.9
4286,136.7
381,1095.4
4258,134.9
4348,111.4
4078,162.2
3499,200.3
2307,339.4
1780,425.3
2722,277.4
3659,179.4
2329,367.3
864,654.2
4089,165.0
3544,184.3
554,912.9
1159,487.4
1213,447.0
2024,386.5
3914,155.0
48,1356.9
4958,116.5
700,745.8
652,790.8
4259,133.9
3064,334.1
3307,252.9
748,700.7
1455,470.5
4194,148.1
4573,124.1
4688,133.9
866,652.9
752,703.3
1644,450.8
92,1338.8
2820,273.0
3097,304.0
4982,110.7
4869,116.2
